id_venda;cod_vendedor;cod_produto;cod_departamento;dtc_venda;qtd_venda;val_venda;num_nota
1;3;4;1;22/08/2015;1;1300;1033
2;3;10;1;15/08/2014;1;2.15;812
3;5;11;1;26/04/2014;2;0.5;447
4;9;19;1;09/01/2014;1;1500;509
5;10;16;6;24/05/2015;1;135;1337
6;4;11;3;25/07/2014;1;0.5;1337
7;4;9;5;12/03/2015;1;12.25;724
8;7;19;4;17/08/2014;2;1500;375
9;9;20;3;07/02/2015;2;350;416
10;9;15;3;07/10/2014;1;98.5;1085
11;3;16;5;02/07/2014;1;135;692
12;2;18;1;02/04/2014;3;850;74
13;4;9;3;03/10/2015;3;12.25;797
14;1;18;5;12/03/2015;3;850;391
15;12;8;2;13/03/2014;1;875;700
16;8;15;3;15/02/2014;3;98.5;241
17;9;21;4;04/03/2014;3;2100;403
18;1;8;4;15/10/2014;2;875;1427
19;1;7;6;09/11/2014;1;52.9;210
20;9;14;4;01/03/2014;2;25;849
21;9;10;4;03/11/2015;1;2.15;409
22;10;8;1;22/11/2015;1;875;1380
23;2;22;6;18/03/2015;3;1600;750
24;9;17;6;19/04/2014;3;1075;1492
25;11;3;6;10/05/2014;1;342.09;1148
26;4;12;6;18/08/2015;2;5.3;842
27;6;16;5;19/08/2014;1;135;77
28;5;1;3;22/07/2014;3;25.15;649
29;2;17;5;10/02/2014;1;1075;107
30;12;5;6;24/09/2015;1;2125.99;489
31;6;1;5;05/08/2014;1;25.15;159
32;6;9;3;09/01/2014;2;12.25;307
33;11;7;2;25/11/2015;3;52.9;168
34;9;5;1;04/02/2015;2;2125.99;836
35;4;17;5;17/08/2014;2;1075;1253
36;10;3;3;24/02/2015;1;342.09;1431
37;3;11;2;10/04/2015;1;0.5;1160
38;6;3;3;19/03/2015;1;342.09;155
39;9;15;5;16/07/2015;3;98.5;251
40;6;2;1;10/02/2014;1;25.9;913
41;12;5;6;09/09/2014;3;2125.99;54
42;12;14;6;27/11/2014;3;25;1101
43;6;3;3;01/10/2014;2;342.09;860
44;8;17;1;19/05/2014;2;1075;182
45;11;17;2;23/02/2015;1;1075;1110
46;1;18;5;09/01/2015;1;850;621
47;2;2;2;27/10/2015;3;25.9;9
48;11;20;5;12/01/2015;3;350;1098
49;2;5;6;15/12/2014;2;2125.99;1304
50;12;19;3;11/05/2014;3;1500;953
51;3;23;1;26/05/2015;1;300;848
52;11;22;2;26/11/2015;3;1600;1451
53;10;1;1;09/09/2015;3;25.15;1245
54;5;9;4;24/12/2015;3;12.25;646
55;5;2;6;13/12/2014;2;25.9;911
56;10;7;1;15/01/2014;2;52.9;1354
57;3;13;4;01/08/2014;3;3.2;264
58;9;13;4;15/07/2015;1;3.2;198
59;9;3;6;02/02/2014;1;342.09;848
60;5;22;5;13/07/2015;2;1600;314
61;9;9;6;14/06/2015;1;12.25;1422
