dia-semana;situacao;momento-dia;temp;pista;Vitimas
segunda-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;2
terca-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;3
quinta-feira;Sem Vitimas;Plena Noite         ;Ceu Claro           ;Multipla            ;4
sexta-feira;Feridas;Plena Noite         ;Ceu Claro           ;Dupla               ;3
sexta-feira;Feridas;Plena Noite         ;Ceu Claro           ;Simples             ;4
quarta-feira;Sem Vitimas;Plena Noite         ;Ceu Claro           ;Dupla               ;4
sexta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;1
domingo;Feridas;Plena Noite         ;Nublado             ;Multipla            ;3
segunda-feira;Feridas;Amanhecer           ;Nublado             ;Dupla               ;3
quarta-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;0
quarta-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;0
quinta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;0
sexta-feira;Feridas;Amanhecer           ;Ceu Claro           ;Dupla               ;0
terca-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;0
quinta-feira;Sem Vitimas;Pleno dia           ;Ceu Claro           ;Multipla            ;0
domingo;Sem Vitimas;Pleno dia           ;Ceu Claro           ;Simples             ;2
terca-feira;Sem Vitimas;Pleno dia           ;Ceu Claro           ;Multipla            ;2
terca-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;2
quarta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Multipla            ;2
sexta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;1
quinta-feira;Sem Vitimas;Pleno dia           ;Sol                 ;Dupla               ;1
sexta-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;1
sexta-feira;Sem Vitimas;Pleno dia           ;Nublado             ;Simples             ;2
sabado;Feridas;Amanhecer           ;Chuva               ;Simples             ;3
domingo;Feridas;Plena Noite         ;Chuva               ;Dupla               ;4
segunda-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;5
quinta-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;6
segunda-feira;Feridas;Pleno dia           ;Nublado             ;Dupla               ;5
