"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
182210;2019-01-01;"terça-feira";"01:30:00";"SP";116;218;"GUARULHOS";"Falta de Atenção à Condução";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Curva";"Sim";4;0;4;0;0;0;4;1;"-23.46052014";"-46.48772478";"SR-SP";"DEL6/1";"UOP01/SP"
182211;2019-01-01;"terça-feira";"01:30:00";"PR";373;177,3;"PONTA GROSSA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-25.05533957";"-50.22776753";"SR-PR";"DEL7/3";"UOP01/PR"
182212;2019-01-01;"terça-feira";"00:45:00";"SC";101;16;"GARUVA";"Animais na Pista";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-26.1216";"-48.8826";"SR-SC";"DEL8/3";"UOP01/SC"
182214;2019-01-01;"terça-feira";"00:00:00";"CE";20;429,5;"FORTALEZA";"Ingestão de Substâncias Psicoativas";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Viaduto";"Sim";1;0;0;1;0;0;1;1;"-3.76999";"-38.670063";"SR-CE";"DEL16/1";"UOP02/CE"
182215;2019-01-01;"terça-feira";"01:00:00";"MG";381;327;"NOVA ERA";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Interseção de vias";"Não";2;0;0;1;1;0;1;2;"-19.7609";"-43.0306";"SR-MG";"DEL4/3";"UOP01/MG"
182216;2019-01-01;"terça-feira";"01:50:00";"SC";470;42,6;"GASPAR";"Ingestão de Substâncias Psicoativas";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;"-26.875719";"-49.003746";"SR-SC";"DEL8/4";"UOP01/SC"
182217;2019-01-01;"terça-feira";"01:30:00";"MS";163;721,5;"COXIM";"Animais na Pista";"Atropelamento de Animal";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;0;1;0;1;"-18.575739";"-54.76353";"SR-MS";"DEL3/6";"UOP01/MS"
182219;2019-01-01;"terça-feira";"00:50:00";"GO";50;280,3;"CATALAO";"Desobediência às normas de trânsito pelo condutor";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;1;0;2;0;1;2;"-18.1784";"-47.9362";"SR-GO";"DEL1/6";"UOP01/GO"
182220;2019-01-01;"terça-feira";"02:25:00";"GO";60;172;"GOIANIA";"Desobediência às normas de trânsito pelo pedestre";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Reta";"Não";3;1;0;0;0;2;0;1;"-16.738";"-49.4076";"SR-GO";"DEL1/1";"UOP02/GO"
182223;2019-01-01;"terça-feira";"02:15:00";"RS";386;73,7;"BOA VISTA DAS MISSOES";"Ingestão de Álcool";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Sim";4;0;2;2;0;0;4;2;"-27.693541";"-53.300945";"SR-RS";"DEL08";"UOP02/RS"
